Greenbelt ,20771,4901,5000,5000,5000
Greensboro ,21639,39,77,760,1297
Gunpowder ,21010,1380,2211,5000,5000
Gwynn Oak ,21207,4758,5000,5000,5000
Hagerstown ,21740,402,581,1070,2466
Hagerstown ,21741,418,543,1075,2292
Hagerstown ,21742,500,572,1048,2183
Hagerstown ,21746,442,721,1833,2331
Hagerstown ,21747,494,573,898,1349
Hagerstown ,21748,488,527,841,
Hagerstown ,21749,418,543,1075,2292
Halethorpe ,21227,4548,5000,5000,5000
Hampstead ,21074,386,835,3248,5000
Hancock ,21750,47,50,68,453
Hanover ,21076,4232,5000,5000,5000
Hanover ,21098,3600,5000,5000,5000
Harmans ,21077,3907,5000,5000,5000
Harwood ,20776,2834,5000,5000,5000
Havre de Grace ,21078,91,1199,1489,2922
Hebron ,21830,384,461,595,716
Helen ,20635,109,705,1770,1932
Henderson ,21640,1,106,861,993
Highland ,20777,3362,5000,5000,5000
Hillsboro ,21641,38,319,484,740
Hollywood ,20636,377,701,754,919
Hughesville ,20637,582,1456,2084,5000
Hunt Valley ,21031,2781,4452,5000,5000
Huntingtown ,20639,424,604,1883,5000
Hurlock ,21643,19,242,562,1090
Hyattsville ,20781,4679,5000,5000,5000
Hyattsville ,20782,4812,5000,5000,5000
Hyattsville ,20783,4782,5000,5000,5000
Hyattsville ,20784,4812,5000,5000,5000
Hyattsville ,20785,4683,5000,5000,5000
Hyattsville ,20787,4618,5000,5000,5000
Hyattsville ,20788,4793,5000,5000,5000
Hydes ,21082,3094,4808,5000,5000
Ijamsville ,21754,1358,2018,5000,5000
Indian Head ,20640,508,2093,5000,5000
Ingleside ,21644,1,97,858,1136
Ironsides ,20643,70,1553,3509,5000
Issue ,20645,67,156,389,1541
Jarrettsville ,21084,580,1815,4168,5000
Jefferson ,21755,875,1085,2374,5000
Jessup ,20794,4006,5000,5000,5000
Joppa ,21085,1639,3120,5000,5000
Keedysville ,21756,89,1095,2103,2486
Kennedyville ,21645,83,87,493,1483
Kensington ,20891,5000,5000,5000,5000
Kensington ,20895,4818,5000,5000,5000
Keymar ,21757,50,521,1800,2564
Kingsville ,21087,2014,4688,5000,5000
Kitzmiller ,21538,18,141,145,203
Knoxville ,21758,212,1138,2533,3907
La Plata ,20646,963,1237,5000,5000
Ladiesburg ,21759,56,730,1748,2725
Lanham ,20703,5000,5000,5000,5000
Lanham ,20706,5000,5000,5000,5000
Laurel ,20707,4560,5000,5000,5000
Laurel ,20708,3868,5000,5000,5000
Laurel ,20709,4677,5000,5000,5000
Laurel ,20723,3774,5000,5000,5000
Laurel ,20724,4562,5000,5000,5000
Laurel ,20725,4589,5000,5000,5000
Laurel ,20726,4535,5000,5000,5000
Leonardtown ,20650,291,379,294,814
Lexington Park ,20653,279,371,383,405
Libertytown ,21762,369,1338,1998,3300
Lineboro ,21088,267,766,1783,4039
Linkwood ,21835,86,120,438,995
Linthicum Heights ,21090,4537,5000,5000,5000
Lisbon ,21765,417,2607,5000,5000
Little Orleans ,21766,48,48,61,342
Lonaconing ,21539,61,182,294,345
Long Green ,21092,2952,5000,5000,5000
Lothian ,20711,413,5000,5000,5000
Loveville ,20656,220,581,826,1785
Luke ,21540,27,79,272,342
Lusby ,20657,356,587,715,846
Lutherville Timonium ,21093,3266,5000,5000,5000
Lutherville Timonium ,21094,3323,5000,5000,5000
Madison ,21648,5,95,470,1034
Manchester ,21102,145,774,1512,4560
Manokin ,21836,5,32,442,463
Marbury ,20658,493,2990,5000,5000
Mardela Springs ,21837,6,542,695,719
Marion Station ,21838,12,30,33,236
Marriottsville ,21104,2487,4727,5000,5000
Marydel ,21649,1,709,874,1072
Maryland Line ,21105,141,431,2280,5000
Massey ,21650,21,272,838,1477
Maugansville ,21767,448,532,1069,1372
Mayo ,21106,2424,4503,5000,5000
Mc Henry ,21541,115,118,118,146
McDaniel ,21647,52,558,2947,3739
Mechanicsville ,20659,121,688,1764,1948
Middle River ,21220,1330,4548,5000,5000
Middletown ,21769,509,1271,1922,3101
Midland ,21542,52,182,187,335
Midlothian ,21543,98,177,182,334
Millersville ,21108,4609,5000,5000,5000
Millington ,21651,7,259,1036,1327
Monkton ,21111,370,3744,5000,5000
Monrovia ,21770,1158,1708,5000,5000
Montgomery Village ,20886,4198,5000,5000,5000
Morganza ,20660,118,713,1136,1926
Mount Airy ,21771,230,1579,5000,5000
Mount Rainier ,20712,5000,5000,5000,5000
Mount Savage ,21545,148,155,177,188
Mount Victoria ,20661,76,210,1023,1873
Myersville ,21773,263,1426,1654,2436
Nanjemoy ,20662,20,765,4008,5000
Nanticoke ,21840,3,5,409,535
Neavitt,21652,62,351,669,3393
New Market ,21774,1108,1387,2374,5000
New Midway ,21775,72,1036,1779,2761
New Windsor ,21776,344,821,1662,5000
Newark ,21841,48,213,1205,1723
Newburg ,20664,78,298,1229,1786
Newcomb ,21653,284,380,630,1498
North Beach ,20714,195,614,4005,5000
North East ,21901,288,641,1732,3691
Nottingham ,21236,3799,5000,5000,5000
Oakland ,21550,13,117,120,151
Ocean City ,21842,778,1206,1217,1291
Ocean City ,21843,778,1209,1219,1296
Odenton ,21113,3706,5000,5000,5000
Oldtown ,21555,3,121,173,263
Olney ,20830,4783,5000,5000,5000
Olney ,20832,4749,5000,5000,5000
Owings ,20736,331,728,3922,5000
Owings ,21117,2880,5000,5000,5000
Oxford ,21654,345,377,408,704
Oxon Hill ,20745,4758,5000,5000,5000
Oxon Hill ,20750,4619,5000,5000,5000
Park Hall ,20667,328,374,389,605
Parkton ,21120,272,1246,4349,5000
Parkville ,21234,4282,5000,5000,5000
Parsonsburg ,21849,422,5000,5000,5000
Pasadena ,21122,1482,5000,5000,5000
Pasadena ,21123,2330,5000,5000,5000
Patuxent River ,20670,350,379,501,727
Perry Hall ,21128,2924,5000,5000,5000
Perry Point ,21902,170,1141,1756,3160
Perryman ,21130,937,1261,2340,4473
Perryville ,21903,183,337,1791,3095
Phoenix ,21131,2635,5000,5000,5000
Pikesville ,21208,4027,5000,5000,5000
Piney Point ,20674,48,372,395,440
Pinto ,21556,155,182,229,237
Pittsville ,21850,149,601,1304,1986
Pocomoke City ,21851,22,38,236,462
Point of Rocks ,21777,420,1769,4515,5000
Pomfret ,20675,1045,3966,5000,5000
